Track; Henry; Justus; Lukas
e; [3, 2, 1]; [1, 1, 0]; [2, 0, 0]
mp; [2, 0, 0]; [1, 1, 0]; [6, 1, 0]
tm; [2, 1, 0]; [3, 2, 0]; [1, 1, 2]
mutec; [2, 2, 0]; [1, 0, 0]; [3, 2, 1]
ddd; [5, 1, 0]; [2, 0, 1]; [4, 0, 1]
mcgba; [3, 1, 0]; [1, 0, 1]; [6, 0, 0]
ac; [3, 0, 0]; [1, 0, 0]; [2, 1, 1]
tr; [2, 2, 0]; [1, 1, 1]; [3, 1, 0]
wgm; [3, 1, 0]; [4, 1, 1]; [1, 1, 0]
ac; [1, 0, 0]; [2, 2, 0]; [3, 2, 0]
sa; [1, 1, 1]; [3, 1, 0]; [2, 0, 0]
mc; [2, 0, 0]; [1, 1, 0]; [3, 0, 0]
tm; [3, 0, 0]; [2, 1, 1]; [1, 1, 1]
mcgba; [1, 1, 0]; [3, 1, 0]; [6, 0, 0]
royal; [1, 0, 0]; [2, 2, 1]; [4, 4, 0]
ww; [6, 0, 0]; [1, 1, 0]; [4, 1, 0]
rrn64; [1, 0, 0]; [2, 0, 0]; [3, 0, 1]
dd; [6, 1, 0]; [1, 1, 1]; [3, 0, 0]
cc; [1, 1, 1]; [7, 4, 0]; [2, 1, 0]
dkj; [3, 1, 0]; [1, 3, 0]; [2, 1, 0]
mw; [2, 1, 0]; [3, 2, 1]; [1, 1, 0]
ttc; [8, 0, 0]; [1, 2, 1]; [3, 1, 0]
th; [3, 3, 0]; [1, 1, 1]; [2, 0, 0]
ws; [2, 0, 1]; [1, 0, 1]; [4, 2, 0]

