Track; Henry; Justus; Lukas
yc; [6, 2, 0]; [1, 2, 0]; [2, 1, 0]
bb; [3, 1, 0]; [1, 1, 0]; [2, 3, 0]
tm; [4, 0, 0]; [2, 1, 0]; [1, 0, 0]
ddd; [1, 0, 0]; [2, 1, 0]; [3, 0, 1]
mp; [1, 0, 0]; [7, 2, 0]; [2, 1, 0]
hc; [3, 2, 0]; [2, 1, 0]; [1, 1, 1]
ccb; [1, 2, 0]; [2, 2, 1]; [4, 1, 0]
sbs; [3, 0, 0]; [1, 1, 1]; [2, 1, 0]
iic; [1, 1, 0]; [3, 2, 0]; [2, 3, 0]
rrn64; [1, 0, 0]; [4, 0, 0]; [2, 1, 0]
mw; [1, 2, 0]; [3, 1, 0]; [5, 1, 0]
mmm; [3, 1, 0]; [1, 0, 0]; [2, 1, 1]
rr; [5, 0, 0]; [1, 0, 2]; [2, 1, 0]
sl; [1, 0, 0]; [2, 1, 0]; [3, 0, 0]
mp; [1, 0, 0]; [2, 1, 0]; [4, 2, 0]
bp; [7, 1, 0]; [1, 0, 0]; [3, 0, 0]
mutec; [4, 0, 0]; [5, 1, 0]; [1, 1, 0]
cl; [5, 0, 0]; [2, 0, 0]; [1, 2, 2]
ccb; [2, 0, 0]; [1, 1, 0]; [3, 0, 1]
e; [6, 0, 0]; [1, 0, 0]; [2, 0, 0]
bdd; [1, 1, 0]; [2, 0, 0]; [3, 1, 0]
wp; [5, 0, 0]; [1, 1, 0]; [2, 0, 0]
ea; [3, 0, 0]; [1, 0, 0]; [2, 1, 0]
ttc; [4, 1, 0]; [1, 1, 0]; [2, 1, 1]
